session_id,network_packet_size,protocol_type,login_attempts,session_duration,encryption_used,failed_logins,browser_type,unusual_time_access,attack_detected,ip_reputation_score_least_trustworthy,ip_reputation_score_suspicious,ip_reputation_score_excellent_reputation,risk_score,risk_level
SID_00021,793,1,3,122.1894142089281,0,2,Firefox,0,0,False,True,False,1,Low
SID_00022,454,1,1,299.71154797427783,2,1,Chrome,0,0,False,True,False,1,Low
SID_00023,513,1,3,654.5261426459776,0,1,Firefox,0,0,False,True,False,1,Low
SID_00024,215,1,8,317.0788581057768,0,2,Chrome,0,1,False,True,False,1,Low
SID_00025,391,1,5,93.17112499822254,0,2,Firefox,0,0,False,False,True,1,Low
SID_00026,522,1,4,211.59584253834697,0,3,Firefox,0,1,True,False,False,0,Low
SID_00027,269,1,9,92.70169297371484,2,0,Chrome,0,1,False,False,True,2,Medium
SID_00028,575,1,3,3286.221727767748,1,0,Chrome,0,0,False,True,False,1,Low
SID_00029,379,2,2,214.98212232301017,0,2,Chrome,0,1,False,False,True,1,Low
SID_00030,441,1,7,604.9615522886485,0,0,Firefox,0,1,False,True,False,1,Low
SID_00031,379,1,1,447.62330730772806,1,0,Chrome,0,0,True,False,False,0,Low
SID_00032,870,2,2,674.2716307687525,1,1,Chrome,0,1,True,False,False,0,Low
SID_00033,497,1,1,551.4693389958693,2,1,Chrome,1,0,True,False,False,1,Low
SID_00034,288,0,2,1039.10118603804,0,3,Chrome,0,1,True,False,False,0,Low
SID_00035,664,1,6,1650.942099269792,2,2,Chrome,1,0,False,True,False,2,Medium
SID_00036,255,1,2,268.71323796747225,0,1,Chrome,1,0,False,False,True,2,Medium
SID_00037,541,1,5,162.2873080817919,2,2,Chrome,0,0,True,False,False,0,Low
SID_00038,108,1,7,3325.3086894656926,0,2,Firefox,0,1,True,False,False,0,Low
SID_00039,234,1,5,1608.365096858205,1,4,Firefox,0,1,False,False,True,1,Low
SID_00040,539,1,4,361.9425945829811,1,0,Chrome,0,0,False,True,False,1,Low
SID_00041,647,1,2,1801.41325899014,2,1,Chrome,0,0,True,False,False,0,Low
SID_00042,534,1,4,888.2555882449734,0,3,Chrome,0,1,True,False,False,0,Low
SID_00043,476,1,4,460.1784563437431,1,2,Edge,0,0,False,True,False,1,Low
SID_00044,439,1,5,1653.5169443242044,2,2,Chrome,0,0,True,False,False,0,Low
SID_00045,204,1,4,899.8403029798167,1,1,Chrome,0,0,False,True,False,1,Low
SID_00046,356,1,2,1401.0372662699012,1,1,Chrome,0,1,False,False,True,1,Low
SID_00047,407,1,7,432.6976830475844,1,3,Edge,1,1,True,False,False,1,Low
SID_00048,711,1,5,1282.4285713839413,0,2,Edge,0,1,True,False,False,0,Low
SID_00049,568,1,6,365.73555486698257,0,2,Unknown,0,1,False,False,True,1,Low
SID_00050,147,1,1,1062.659149730583,0,1,Edge,0,0,True,False,False,0,Low
SID_00051,564,1,2,457.4952008808089,2,1,Edge,1,0,True,False,False,1,Low
SID_00052,422,1,5,415.6167950841102,0,1,Chrome,0,0,False,True,False,1,Low
SID_00053,364,1,5,1274.1942392067006,0,2,Firefox,0,1,False,False,True,1,Low
SID_00054,622,1,6,106.8587436466122,2,1,Firefox,1,1,False,True,False,2,Medium
SID_00055,706,1,4,2107.19716665885,1,2,Edge,1,0,False,True,False,2,Medium
SID_00056,686,1,3,568.5288982396605,1,1,Firefox,0,1,False,False,True,1,Low
SID_00057,332,1,2,808.6446595055914,0,2,Chrome,0,0,True,False,False,0,Low
SID_00058,438,1,4,415.7067630688467,1,1,Chrome,0,0,True,False,False,0,Low
SID_00059,566,2,5,830.483464807917,1,1,Firefox,0,1,False,False,True,1,Low
SID_00060,695,2,1,989.8897960942786,0,2,Edge,0,1,True,False,False,0,Low
SID_00061,404,1,9,1622.860870864447,1,2,Chrome,0,1,True,False,False,1,Low
SID_00062,462,1,5,1541.3967703070944,0,2,Chrome,0,0,True,False,False,0,Low
SID_00063,278,1,8,354.30271017360786,0,2,Edge,0,1,False,False,True,1,Low
SID_00064,260,2,6,765.3837210156122,0,1,Chrome,0,0,False,False,True,1,Low
SID_00065,662,1,3,1213.40421214117,2,1,Safari,0,0,False,True,False,1,Low
SID_00066,771,0,6,1158.071232246108,2,2,Chrome,1,0,True,False,False,1,Low
SID_00067,485,1,5,1772.622948174797,2,2,Chrome,0,0,False,True,False,1,Low
SID_00068,700,1,6,1426.7642254528307,1,4,Chrome,0,1,True,False,False,0,Low
SID_00069,572,1,10,1012.2699508672414,1,1,Chrome,0,1,True,False,False,1,Low
SID_00070,370,1,1,1105.3806022240433,0,2,Chrome,0,1,False,True,False,1,Low
SID_00071,572,1,6,1317.8935947961731,0,0,Edge,0,0,True,False,False,0,Low
SID_00072,807,1,3,1455.576779684165,0,0,Unknown,0,1,False,False,True,1,Low
SID_00073,492,1,4,347.91805418370086,0,1,Edge,0,1,True,False,False,0,Low
SID_00074,812,2,7,1217.9139195544108,1,2,Chrome,0,1,False,False,True,1,Low
SID_00075,64,1,6,2384.0286686884297,2,1,Chrome,0,0,False,False,True,1,Low
SID_00076,664,1,3,212.17659606312992,2,0,Chrome,0,0,True,False,False,0,Low
SID_00077,517,1,5,39.54966375410118,1,1,Edge,0,1,False,True,False,1,Low
SID_00078,440,2,5,60.12054049063278,1,1,Chrome,0,0,False,True,False,1,Low
SID_00079,518,2,7,195.4101798830058,0,0,Chrome,0,1,False,True,False,1,Low
SID_00080,102,1,3,2018.4893233966325,2,2,Edge,0,0,True,False,False,0,Low
SID_00081,456,1,5,108.46893562306865,1,2,Firefox,0,0,True,False,False,0,Low
SID_00082,571,1,5,1101.401768015545,1,2,Chrome,1,0,False,True,False,2,Medium
SID_00083,795,1,6,1614.1886098890527,0,2,Chrome,0,1,True,False,False,0,Low
SID_00084,396,1,6,1679.8526967503185,2,0,Chrome,0,1,False,False,True,1,Low
SID_00085,338,2,2,431.3095534963739,0,1,Edge,0,0,False,True,False,1,Low
SID_00086,399,1,3,546.9722169261106,2,0,Chrome,0,0,False,False,True,1,Low
SID_00087,683,1,5,312.3613276488573,0,3,Firefox,0,1,False,True,False,1,Low
SID_00088,565,1,8,127.51964209032084,0,2,Chrome,1,1,True,False,False,1,Low
SID_00089,394,2,4,190.7796533194509,0,1,Chrome,0,1,False,True,False,1,Low
SID_00090,602,1,4,115.82192978072582,0,1,Chrome,1,1,True,False,False,1,Low
SID_00091,519,1,3,418.7535920670476,0,2,Firefox,1,0,False,False,True,2,Medium
SID_00092,693,1,4,149.39682434919536,1,2,Edge,0,1,False,False,True,1,Low
SID_00093,359,1,4,413.2077481798984,0,3,Chrome,0,1,False,True,False,1,Low
SID_00094,434,2,7,1524.0632797670812,1,0,Firefox,0,1,True,False,False,0,Low
SID_00095,421,1,7,850.2462962444683,1,3,Safari,0,1,False,False,True,1,Low
SID_00096,207,2,4,869.5488497403968,0,3,Firefox,0,1,True,False,False,0,Low
SID_00097,559,1,3,1336.4809719223258,0,1,Safari,0,0,True,False,False,0,Low
SID_00098,552,1,2,33.65280380665794,0,0,Firefox,0,0,False,True,False,1,Low
SID_00099,501,2,3,1265.8898099183805,0,2,Firefox,0,0,False,True,False,1,Low
SID_00100,453,1,5,174.87198977443362,0,2,Firefox,0,0,False,True,False,1,Low
SID_00101,216,1,6,339.6289336863756,0,0,Edge,0,1,False,False,True,1,Low
SID_00102,415,1,2,294.5849672223419,0,3,Chrome,0,1,True,False,False,0,Low
SID_00103,431,1,2,89.33142787527953,0,2,Firefox,0,0,True,False,False,0,Low
SID_00104,339,1,3,152.6475054745366,1,2,Firefox,0,0,False,True,False,1,Low
SID_00105,467,0,1,2505.1902247693133,0,2,Chrome,0,0,True,False,False,0,Low
SID_00106,580,0,3,733.5772844904812,1,2,Chrome,0,0,True,False,False,0,Low
SID_00107,877,1,4,513.9203055468032,2,0,Edge,0,1,True,False,False,0,Low
SID_00108,534,1,4,1134.3759248662836,2,2,Chrome,0,1,False,False,True,1,Low
SID_00109,551,1,5,1344.486704150752,1,0,Firefox,0,0,True,False,False,0,Low
SID_00110,485,1,6,93.46336107579046,1,2,Chrome,0,0,False,True,False,1,Low
SID_00111,116,1,4,1080.449674152331,0,0,Edge,0,0,False,True,False,1,Low
SID_00112,494,1,6,2155.276873158772,0,1,Firefox,0,0,False,True,False,1,Low
SID_00113,512,1,6,704.422488537655,1,1,Chrome,1,0,True,False,False,1,Low
SID_00114,992,1,2,761.8596818225025,1,1,Firefox,0,0,True,False,False,0,Low
SID_00115,461,1,3,1634.686997948409,1,1,Edge,0,1,True,False,False,0,Low
SID_00116,560,1,5,910.2548697823172,1,2,Chrome,0,0,True,False,False,0,Low
SID_00117,493,2,1,4282.643311411911,1,1,Unknown,0,0,False,True,False,1,Low
SID_00118,266,1,5,265.80179500946144,2,2,Safari,1,1,False,True,False,2,Medium
SID_00119,728,1,9,1493.9483851057782,1,0,Chrome,0,1,False,True,False,2,Medium
SID_00120,650,1,9,758.2441511370571,2,1,Chrome,1,1,False,True,False,3,High
SID_00121,658,1,3,364.2314264843896,1,1,Chrome,0,0,False,True,False,1,Low
SID_00122,318,1,2,1716.8731834652806,1,1,Edge,0,0,True,False,False,0,Low
SID_00123,780,1,5,4468.001253098631,2,1,Chrome,0,0,False,False,True,1,Low
SID_00124,219,0,4,47.6720891871051,1,3,Firefox,1,1,True,False,False,1,Low
SID_00125,617,1,5,2077.8093270932563,0,1,Firefox,0,1,False,False,True,1,Low
SID_00126,938,1,5,181.63190836745449,0,2,Firefox,0,0,False,True,False,1,Low
SID_00127,301,1,6,183.7197582739341,0,2,Firefox,0,0,True,False,False,0,Low
SID_00128,386,0,1,34.12234567916193,2,1,Chrome,1,0,True,False,False,1,Low
SID_00129,519,2,8,2042.7649588398008,0,3,Chrome,0,1,True,False,False,0,Low
SID_00130,399,2,6,1139.689059842402,0,1,Chrome,0,1,False,False,True,1,Low
SID_00131,189,1,1,43.94449986840703,0,2,Chrome,0,0,False,True,False,1,Low
SID_00132,513,0,3,803.0822652641986,0,0,Chrome,1,0,True,False,False,1,Low
SID_00133,287,1,6,102.38892419769635,2,1,Chrome,0,1,True,False,False,0,Low
SID_00134,594,1,9,1113.5448828433073,0,1,Firefox,0,1,True,False,False,1,Low
SID_00135,316,2,3,420.8242964449342,1,0,Chrome,0,1,True,False,False,0,Low
SID_00136,809,2,4,42.53231749395693,0,1,Unknown,0,1,True,False,False,0,Low
SID_00137,343,1,5,1414.7818469631654,0,3,Edge,1,1,True,False,False,1,Low
SID_00138,435,1,4,679.6785160847335,0,3,Safari,0,1,True,False,False,0,Low
SID_00139,662,1,1,1185.7797753569248,0,2,Chrome,0,0,False,False,True,1,Low
SID_00140,253,1,1,897.9900818952359,1,4,Unknown,0,1,True,False,False,0,Low
SID_00141,545,1,4,455.88912093711633,0,3,Unknown,0,1,True,False,False,0,Low
SID_00142,761,0,1,959.6300158997273,0,2,Chrome,0,0,True,False,False,0,Low
SID_00143,178,1,3,11.890700511572373,0,1,Edge,1,0,True,False,False,1,Low
SID_00144,536,2,3,332.0943080741142,1,0,Firefox,0,1,False,False,True,1,Low
SID_00145,551,2,3,1203.5341894452372,1,2,Chrome,0,0,True,False,False,0,Low
SID_00146,656,1,5,1151.9651057221577,0,1,Chrome,0,0,False,True,False,1,Low
SID_00147,252,2,4,1747.1974055008438,0,0,Firefox,0,1,False,True,False,1,Low
SID_00148,235,1,3,755.434368901311,0,3,Chrome,0,1,True,False,False,0,Low
SID_00149,604,1,3,2280.568942195515,2,0,Chrome,0,1,False,False,True,1,Low
SID_00150,559,1,3,652.6355940282597,0,2,Chrome,0,0,True,False,False,0,Low
SID_00151,550,1,1,555.2444851752033,2,2,Chrome,0,0,False,True,False,1,Low
SID_00152,569,2,7,175.73628085127916,2,1,Chrome,1,1,False,False,True,2,Medium
SID_00153,363,0,6,1207.0821332288124,0,2,Chrome,0,0,False,True,False,1,Low
SID_00154,546,1,5,942.2728647931104,0,1,Chrome,0,0,False,True,False,1,Low
SID_00155,558,2,9,494.07664627087496,1,2,Safari,0,1,False,True,False,2,Medium
SID_00156,357,1,9,72.91081297639256,1,2,Edge,0,1,True,False,False,1,Low
SID_00157,873,2,3,107.46754869926538,1,2,Chrome,0,0,True,False,False,0,Low
SID_00158,594,1,3,97.24720087836856,0,4,Chrome,0,1,False,True,False,1,Low
SID_00159,261,1,10,376.7703857763132,2,1,Safari,0,1,True,False,False,1,Low
SID_00160,631,1,6,138.5095628371252,0,1,Chrome,0,0,True,False,False,0,Low
SID_00161,305,1,6,1577.7168112486886,0,1,Edge,0,0,False,True,False,1,Low
SID_00162,657,1,6,1836.854066404744,2,3,Chrome,0,1,True,False,False,0,Low
SID_00163,731,2,5,1554.6376149090595,1,2,Firefox,0,1,True,False,False,0,Low
SID_00164,335,1,3,750.9414290852901,1,3,Chrome,0,1,True,False,False,0,Low
SID_00165,692,2,7,725.7763899065397,2,2,Chrome,0,1,False,False,True,1,Low
SID_00166,582,2,5,1772.5689478516597,0,1,Chrome,0,0,True,False,False,0,Low
SID_00167,664,1,8,417.1159065866958,0,2,Edge,0,1,False,True,False,1,Low
SID_00168,879,1,5,51.49798031536433,2,0,Firefox,0,1,True,False,False,0,Low
SID_00169,450,2,1,508.49628287021335,0,2,Chrome,0,0,True,False,False,0,Low
SID_00170,349,1,8,645.4298805334846,0,1,Chrome,0,1,True,False,False,0,Low
SID_00171,322,1,1,637.8327848930265,0,1,Chrome,0,0,True,False,False,0,Low
SID_00172,336,1,2,138.5347758456176,2,2,Chrome,0,1,True,False,False,0,Low
SID_00173,484,1,5,1223.8102732316374,0,1,Chrome,1,1,False,True,False,2,Medium
SID_00174,568,0,5,1053.3158665799629,1,2,Edge,0,1,True,False,False,0,Low
SID_00175,555,1,5,208.93902977348895,0,1,Chrome,0,0,False,False,True,1,Low
SID_00176,665,1,6,640.9945335485618,1,3,Firefox,0,1,False,False,True,1,Low
SID_00177,502,1,12,1249.7694954987144,1,1,Firefox,0,1,True,False,False,1,Low
SID_00178,790,2,4,6.171441467446689,1,2,Firefox,0,1,True,False,False,0,Low
SID_00179,447,2,3,257.4377388281377,0,0,Firefox,1,0,True,False,False,1,Low
SID_00180,1044,1,4,510.9845736621589,0,2,Edge,0,0,False,False,True,1,Low
SID_00181,625,1,1,1491.6272442087734,0,3,Chrome,0,1,True,False,False,0,Low
SID_00182,328,1,4,1283.4300381717148,2,2,Chrome,0,0,True,False,False,0,Low
SID_00183,285,1,7,130.94982959554818,1,2,Chrome,1,1,True,False,False,1,Low
SID_00184,596,1,2,497.02132412144806,0,2,Chrome,0,0,True,False,False,0,Low
SID_00185,455,0,2,290.6566794998655,2,2,Firefox,0,0,False,True,False,1,Low
SID_00186,642,1,1,410.5743325044247,2,2,Chrome,0,0,True,False,False,0,Low
SID_00187,594,1,4,622.3103994578047,0,2,Chrome,0,1,False,False,True,1,Low
SID_00188,485,2,4,553.4633422524302,1,2,Chrome,0,0,True,False,False,0,Low
SID_00189,330,1,2,122.12443528436629,0,0,Edge,0,0,False,False,True,1,Low
SID_00190,197,1,7,103.8028280833901,0,2,Edge,0,1,False,True,False,1,Low
SID_00191,410,1,5,111.65696274923886,0,1,Edge,0,0,False,True,False,1,Low
SID_00192,671,1,4,1472.5326581431882,1,3,Unknown,0,1,True,False,False,0,Low
SID_00193,542,2,5,16.10939607653426,0,1,Firefox,1,0,False,True,False,2,Medium
SID_00194,250,1,4,180.92309581506888,0,1,Chrome,0,0,True,False,False,0,Low
SID_00195,534,1,7,2496.887261332685,1,1,Chrome,0,1,True,False,False,0,Low
SID_00196,577,1,5,54.64134538770197,2,1,Edge,0,0,True,False,False,0,Low
SID_00197,323,2,5,29.59799365313628,1,1,Chrome,0,0,True,False,False,0,Low
SID_00198,530,1,5,391.9421775186524,1,2,Firefox,0,0,False,True,False,1,Low
SID_00199,511,1,2,131.1458838080163,0,2,Chrome,0,0,True,False,False,0,Low
SID_00200,271,0,3,667.3328621639511,1,3,Chrome,0,1,True,False,False,0,Low
SID_00201,571,1,5,330.69417239531657,1,0,Firefox,0,0,True,False,False,0,Low
SID_00202,612,2,3,187.5349141621204,1,2,Safari,0,0,False,False,True,1,Low
SID_00203,716,1,3,5258.007876672442,2,2,Chrome,0,0,True,False,False,0,Low
SID_00204,710,1,2,333.75180613210904,1,3,Firefox,0,1,False,True,False,1,Low
SID_00205,224,1,5,819.5606827516343,1,2,Edge,0,0,True,False,False,0,Low
SID_00206,312,1,4,1657.8967328136305,0,1,Chrome,0,0,True,False,False,0,Low
SID_00207,603,1,8,2044.817851142252,0,3,Chrome,0,1,False,False,True,1,Low
SID_00208,602,1,7,422.2788269064481,0,3,Edge,0,1,True,False,False,0,Low
SID_00209,603,1,1,2988.9867876731164,1,2,Chrome,0,0,True,False,False,0,Low
SID_00210,1270,1,5,1031.5238151002425,1,1,Chrome,0,1,False,False,True,1,Low
SID_00211,614,1,7,700.2644400491948,0,3,Chrome,0,1,True,False,False,0,Low
SID_00212,727,0,2,945.454259300091,0,1,Chrome,0,1,False,False,True,1,Low
SID_00213,690,1,8,357.2019170732965,2,1,Chrome,0,1,True,False,False,0,Low
SID_00214,630,0,3,441.8813257762719,0,2,Edge,0,0,False,True,False,1,Low
SID_00215,436,1,2,706.0315237925229,0,0,Chrome,0,0,False,True,False,1,Low
SID_00216,651,1,7,316.6108122061147,0,2,Chrome,0,1,True,False,False,0,Low
SID_00217,345,1,3,1171.6183429982286,2,1,Unknown,1,1,False,True,False,2,Medium
SID_00218,452,2,4,231.3057526954721,0,3,Safari,0,1,True,False,False,0,Low
SID_00219,402,2,6,1274.8733430770328,0,1,Chrome,0,1,False,True,False,1,Low
SID_00220,516,1,7,132.04816019596333,1,2,Chrome,1,1,True,False,False,1,Low
SID_00221,962,2,3,196.0975201486787,0,1,Chrome,1,0,False,False,True,2,Medium
SID_00222,126,1,2,1118.9978077851902,0,1,Chrome,0,1,True,False,False,0,Low
SID_00223,637,1,7,244.2875861075147,2,1,Chrome,0,1,True,False,False,0,Low
SID_00224,177,0,3,1269.336265254229,2,1,Firefox,0,0,True,False,False,0,Low
SID_00225,405,2,5,1225.5001480117148,0,0,Chrome,0,1,False,False,True,1,Low
SID_00226,717,0,3,237.97180227640533,0,2,Unknown,0,1,False,False,True,1,Low
SID_00227,512,1,2,60.71129061945858,0,3,Chrome,1,1,False,True,False,2,Medium
SID_00228,284,1,5,145.56345742064204,0,1,Firefox,0,0,False,True,False,1,Low
SID_00229,356,1,5,1117.1621572909544,0,1,Chrome,0,0,True,False,False,0,Low
SID_00230,635,1,10,1501.823588577862,0,3,Firefox,0,1,True,False,False,1,Low
SID_00231,353,2,5,386.3809840655401,0,0,Chrome,0,0,False,True,False,1,Low
SID_00232,543,1,4,143.51076801543536,2,0,Edge,0,0,True,False,False,0,Low
SID_00233,509,1,5,62.77560611350965,0,2,Chrome,0,1,False,False,True,1,Low
SID_00234,369,1,4,194.48929953258573,1,1,Chrome,0,0,False,True,False,1,Low
SID_00235,928,1,5,3117.1111237301275,0,2,Chrome,0,0,True,False,False,0,Low
SID_00236,626,1,6,149.326854401643,1,1,Chrome,0,1,False,True,False,1,Low
SID_00237,94,1,3,72.08595471285292,0,2,Chrome,0,0,True,False,False,0,Low
SID_00238,537,2,4,1231.45768962121,0,0,Chrome,0,0,False,True,False,1,Low
SID_00239,367,1,6,764.4650684422296,2,1,Chrome,0,0,False,False,True,1,Low
SID_00240,670,2,4,612.2670042320594,1,2,Chrome,0,1,False,False,True,1,Low
SID_00241,341,1,4,475.1521218829639,1,1,Chrome,0,1,True,False,False,0,Low
SID_00242,477,1,5,968.1034736152236,2,0,Chrome,0,0,True,False,False,0,Low
SID_00243,600,1,3,958.8035428495627,2,1,Edge,0,0,False,True,False,1,Low
SID_00244,673,2,5,441.90985118413903,0,3,Chrome,0,1,True,False,False,0,Low
SID_00245,259,1,3,213.49648104766663,0,3,Firefox,0,1,False,False,True,1,Low
SID_00246,433,1,3,1472.40752574175,1,3,Edge,1,1,False,True,False,2,Medium
SID_00247,405,1,10,143.89705935042394,0,1,Chrome,0,1,False,False,True,2,Medium
SID_00248,369,1,3,610.8665546296135,0,2,Firefox,0,0,False,True,False,1,Low
SID_00249,853,2,4,943.877265223019,0,3,Firefox,0,1,False,True,False,1,Low
SID_00250,580,2,2,814.8292492241783,2,2,Chrome,0,0,True,False,False,0,Low
SID_00251,247,1,5,771.5329877113128,1,2,Chrome,0,1,True,False,False,0,Low
SID_00252,683,1,3,868.966499861094,2,0,Chrome,0,0,True,False,False,0,Low
SID_00253,924,2,6,1667.7557175305817,0,2,Chrome,0,0,True,False,False,0,Low
SID_00254,706,1,4,363.7989546346428,0,2,Firefox,1,0,True,False,False,1,Low
SID_00255,196,1,3,789.8782430060236,0,1,Chrome,0,0,True,False,False,0,Low
SID_00256,403,1,3,955.1300120826256,2,1,Chrome,0,0,True,False,False,0,Low
SID_00257,753,1,2,713.915926948315,0,2,Edge,0,0,False,False,True,1,Low
SID_00258,358,1,2,1866.457231583724,1,1,Safari,1,0,False,True,False,2,Medium
SID_00259,588,2,2,850.8558379069228,1,4,Chrome,0,1,True,False,False,0,Low
SID_00260,654,1,6,441.9142581175928,1,0,Edge,0,0,True,False,False,0,Low
SID_00261,314,1,6,1494.500082454998,1,3,Safari,0,1,True,False,False,0,Low
SID_00262,488,2,5,537.9982787042743,0,0,Chrome,0,0,True,False,False,0,Low
SID_00263,64,1,4,604.296028734614,0,1,Chrome,0,1,True,False,False,0,Low
SID_00264,295,1,4,698.3541920212049,1,4,Firefox,0,1,False,True,False,1,Low
SID_00265,449,1,2,311.812813564501,0,1,Chrome,0,0,False,True,False,1,Low
SID_00266,250,1,4,1025.6623175854356,0,2,Chrome,0,0,True,False,False,0,Low
SID_00267,826,2,9,82.62453258190554,0,1,Chrome,0,1,False,True,False,2,Medium
SID_00268,213,2,3,1625.1259879496724,0,1,Chrome,0,0,True,False,False,0,Low
SID_00269,411,1,4,1123.6896964634686,0,1,Chrome,0,0,True,False,False,0,Low
SID_00270,526,2,3,349.10877723244647,2,2,Chrome,0,1,True,False,False,0,Low
SID_00271,788,1,5,205.35313763445285,1,2,Edge,1,0,False,True,False,2,Medium
SID_00272,212,2,6,392.6850037634333,0,1,Chrome,1,0,False,True,False,2,Medium
SID_00273,732,1,2,1308.020307909569,0,4,Edge,0,1,True,False,False,0,Low
SID_00274,502,1,6,25.66391556980137,2,3,Chrome,0,1,True,False,False,0,Low
SID_00275,303,1,4,504.7755404096497,2,1,Chrome,0,0,True,False,False,0,Low
SID_00276,592,1,1,234.54194250047792,2,2,Edge,0,0,False,True,False,1,Low
SID_00277,539,1,2,1663.2422532826597,0,2,Safari,0,1,True,False,False,0,Low
SID_00278,379,1,4,427.3321393830559,1,1,Firefox,0,1,False,False,True,1,Low
SID_00279,513,2,4,957.593324494753,0,1,Chrome,0,1,True,False,False,0,Low
SID_00280,422,1,5,354.39962301749523,0,1,Safari,0,1,True,False,False,0,Low
SID_00281,522,0,7,320.0235284583744,0,1,Firefox,0,1,False,False,True,1,Low
SID_00282,632,1,6,315.4692574902977,0,2,Firefox,0,0,False,True,False,1,Low
SID_00283,817,1,7,906.9969209771176,2,1,Chrome,0,1,True,False,False,0,Low
SID_00284,252,2,5,2664.7602536271625,1,2,Firefox,0,0,False,True,False,1,Low
SID_00285,926,1,6,186.7013391561711,0,1,Chrome,0,0,True,False,False,0,Low
SID_00286,109,2,3,826.0377247161939,2,2,Firefox,0,0,False,False,True,1,Low
SID_00287,469,2,3,246.780815380797,0,3,Chrome,0,1,False,True,False,1,Low
SID_00288,617,1,3,637.6515281008511,1,1,Chrome,0,1,False,True,False,1,Low
SID_00289,556,1,3,624.0084850513184,1,1,Firefox,0,0,True,False,False,0,Low
SID_00290,375,1,3,478.3365406589435,0,3,Chrome,0,1,True,False,False,0,Low
SID_00291,458,1,6,552.3513164824271,1,3,Chrome,0,1,True,False,False,0,Low
SID_00292,401,1,4,1697.7533026634542,0,2,Chrome,0,0,False,True,False,1,Low
SID_00293,382,2,5,74.22269221366982,0,2,Unknown,0,1,True,False,False,0,Low
SID_00294,669,1,1,1418.8990127219554,0,1,Chrome,1,0,False,True,False,2,Medium
SID_00295,571,1,3,496.3834309128998,0,4,Firefox,0,1,False,True,False,1,Low
SID_00296,361,1,4,324.6849905115727,2,0,Safari,0,0,False,True,False,1,Low
SID_00297,679,0,1,155.98117018839662,0,2,Edge,0,0,False,True,False,1,Low
SID_00298,561,1,4,1349.0830647792754,1,1,Chrome,0,0,False,True,False,1,Low
SID_00299,662,1,6,717.2732948818624,0,3,Chrome,0,1,False,True,False,1,Low
SID_00300,625,1,7,1042.668395568587,2,2,Chrome,0,1,True,False,False,0,Low
SID_00301,334,0,4,302.6262416858706,1,3,Chrome,0,1,False,True,False,1,Low
SID_00302,387,0,2,399.3275015852074,0,1,Firefox,0,0,False,True,False,1,Low
SID_00303,649,1,3,1959.4190815651675,1,2,Firefox,0,0,False,True,False,1,Low
SID_00304,622,2,3,2599.1028605223205,0,2,Chrome,0,0,True,False,False,0,Low
SID_00305,495,1,4,1077.1734625145084,0,3,Unknown,1,1,False,False,True,2,Medium
SID_00306,523,0,3,1107.200843136241,1,0,Chrome,0,0,False,True,False,1,Low
SID_00307,755,1,1,948.3833026661184,0,2,Firefox,0,1,False,False,True,1,Low
SID_00308,381,1,6,707.8529081699623,0,2,Firefox,1,1,False,True,False,2,Medium
SID_00309,609,1,5,723.2493102710545,1,4,Chrome,1,1,True,False,False,1,Low
SID_00310,459,1,7,2655.0208061173084,0,2,Chrome,1,1,False,True,False,2,Medium
SID_00311,456,2,2,1111.9577051650865,0,2,Chrome,1,0,True,False,False,1,Low
SID_00312,719,1,6,852.1604925144311,0,1,Chrome,0,0,True,False,False,0,Low
